country,environmental,economic,gdp
Thailand,38.1,60.6,"6,913.10"
Timor-Leste,35.1,47.2,"2,389.30"
Togo,34,55.3,923.2
Tonga,43.8,60,"4,681.70"
Trinidad and Tobago,47.8,59.5,"19,629.50"
Tunisia,40.7,52.9,"3,607.90"
Turkey,26.3,56.9,"10,674.50"
Turkmenistan,37,46.5,"8,792.50"
Uganda,35.8,51.4,964.4
Ukraine,49.6,NA,"4,576.00"
United Arab Emirates,52.4,70.9,"53,708.00"
United Kingdom,77.7,69.9,"45,564.20"
United States of America,51.1,70.6,"77,246.70"
Uruguay,37.4,70.2,"20,499.20"
Uzbekistan,38.2,56.5,"2,276.20"
Vanuatu,36.9,62.1,"3,128.50"
Venezuela,46.4,25.8,NA
Vietnam,20.1,61.8,"4,179.00"
Zambia,38.4,47.8,"1,456.90"
Zimbabwe,46.2,39,"1,676.80"
